sample_date,sample_time,sampling_site,air_temperature,weather,wind_direction,wind_speed,barometeric_pressure,water_temperature,ph,dissolved_oxygen,conductivity,total_dissolved_solids,salt_ppt,aphanizomenon,dolichospermum,microcystis,planktothrix,raphidiopsis,woronichinia,general_comments,secchi
2025-08-14,10:00:00,Site #1 - East Boat Launch,20,Partly Cloudy,S,0-5,762,22.8,7.3,6.2,112.3,56.2,0.05,No,Yes,No,No,No,No,Dinofl & Other Zoopl noted.  Trawl had Worinich & Aphaniz,
2022-01-06,10:55:00,Site #2 - Heritage Boat Launch,8.9,Rain,S,0-5,759,3,8.7,10.5,48,23,,No,No,No,No,No,,Water levels very high due to recent rain,
2022-01-06,14:00:00,Site #3 - Lacamas Shores Boat Launch,11.9,Cloudy,NE,0-5,751.6,9.2,8.3,7.6,57,37,,No,No,No,No,No,,High water level due to heavy rain. Water is murky. Occasional sprinkles with wind gusts up to 7 mph.,
2025-08-07,13:00:00,Site #1 - East Boat Launch,20,Partly Cloudy,S,0-5,762,22.8,7.3,6.2,112.3,56.2,0.05,No,Yes,No,No,No,No,Dinoflg & other zoopl in trawl,
2022-01-13,14:37:00,Site #2 - Heritage Boat Launch,7.2,Rain,,0-5,762,6,8.7,13.4,44,20,,No,No,No,No,No,,,
2022-01-13,14:00:00,Site #3 - Lacamas Shores Boat Launch,7.2,Rain,NE,0-5,763.8,9.4,12.8,8.4,44,35,,No,No,No,No,No,,,
2025-07-31,11:30:00,Site #1 - East Boat Launch,19.4,Mostly Cloudy,W,0-5,756,23.7,7.6,5.5,119,55.9,0.05,Yes,Yes,No,No,No,No,Trawl Dolciospermum,
2022-01-20,16:03:00,Site #2 - Heritage Boat Launch,10.5,Mostly Cloudy,N,0-5,765,5.4,8.7,15.9,44,22,,No,No,No,No,No,,,
2022-01-20,14:00:00,Site #3 - Lacamas Shores Boat Launch,15.1,Partly Cloudy,N,0-5,765,9.1,8.1,9.4,56,28,,No,No,No,No,No,,Didnt see much. found some diatom fragilaria. Thanks,
2025-07-23,15:00:00,Site #1 - East Boat Launch,32,Sunny,SW,0-5,756,26.7,7.57,4.9,110,73.9,0.05,Yes,Yes,No,No,No,Yes,Dinoflag. Trawl had same,
2022-01-27,14:50:00,Site #2 - Heritage Boat Launch,6.1,Sunny,W,5-10,768,4.4,8.5,15,46,23,,No,No,No,No,No,,,
2022-01-27,14:00:00,Site #3 - Lacamas Shores Boat Launch,5,Sunny,E,20-25,768.3,5.4,7.6,10.7,35,39,,No,No,No,No,No,,Strong East wind rolling the dock up and down making it difficult to get readings. No target species identified.,
2025-07-18,12:30:00,Site #1 - East Boat Launch,25,Sunny,W,0-5,754,25.9,6.9,6.4,109.5,62,0.05,No,Yes,No,No,No,Yes,Trawl: Dolicospermum,
2022-02-03,14:48:00,Site #2 - Heritage Boat Launch,8.3,Partly Cloudy,SW,0-5,769,5.2,8.8,11,42,25,,No,No,No,No,No,,,
2022-02-03,14:00:00,Site #3 - Lacamas Shores Boat Launch,15.9,Mostly Cloudy,W,0-5,769.9,7.7,8.1,8.7,64,39,,No,No,No,No,No,,"Lake very calm, no wind. No PH reading due to a dead battery. Lake level high.",
2025-07-10,15:00:00,Site #1 - East Boat Launch,25,Partly Cloudy,NW,0-5,761,25.2,7.7,6.8,104.1,52.1,0.05,No,Yes,No,No,No,Yes,"Trawl: Fragilli, Eudonia, Doliciosp",
2022-02-10,15:21:00,Site #2 - Heritage Boat Launch,7.8,Mostly Cloudy,,0-5,768,6.2,8.9,15.9,60,29,,No,No,No,No,No,,,
2022-02-10,14:15:00,Site #3 - Lacamas Shores Boat Launch,9.5,Cloudy,W,0-5,768.4,5,8.4,4.9,68,34,,No,No,No,Yes,No,,The water level remains the same as the last several weeks. Todays water sample with the identified Planktothrix was collected using a trawl collecting water 10 ft/304 cm from the shoreline and about 1 ft/38 cm beneath the water surface.,
2025-07-03,13:30:00,Site #1 - East Boat Launch,22.23,Sunny,W,0-5,756,23.8,7.9,6.9,102.9,54.5,0.05,No,No,No,No,No,No,Trawl had Dinoflag,
2022-02-17,14:19:00,Site #2 - Heritage Boat Launch,9.4,Mostly Cloudy,NW,0-5,770,8,8.5,15.6,48,31,,No,No,No,No,No,,,
2022-02-17,15:00:00,Site #3 - Lacamas Shores Boat Launch,13,Partly Cloudy,SE,0-5,769,8.7,8.7,7.7,76,38,,No,No,No,No,No,,,
2022-02-24,14:34:00,Site #2 - Heritage Boat Launch,3.9,Sunny,S,0-5,769,3,8.7,16.2,48,29,,No,No,No,No,No,,,
2022-03-03,15:03:00,Site #2 - Heritage Boat Launch,3.9,Partly Cloudy,N,0-5,762,8,8.5,13.8,44,20,,No,No,No,No,No,,,
2022-03-03,13:30:00,Site #3 - Lacamas Shores Boat Launch,14.6,Partly Cloudy,W,0-5,761.8,9.4,8.3,2.7,48,24,,No,No,No,No,No,,Intermittent showers occurred. No target species identified. Information in Notes box on data sheet relates to mid lake water samples. (Samples taken by kayaking to mid lake.),
2025-06-26,16:00:00,Site #1 - East Boat Launch,18.9,Mostly Cloudy,NW,0-5,756.9,21.4,8,7,100.8,50.4,0.05,No,No,No,No,No,Yes,Fragilliari in protocol. Trawl Dino & Zooplanktons,
2022-03-10,14:25:00,Site #2 - Heritage Boat Launch,8.9,Partly Cloudy,N,0-5,767,8.2,8.6,16.3,48,29,,No,No,No,No,No,,,
2022-03-10,13:15:00,Site #3 - Lacamas Shores Boat Launch,11.5,Sunny,W,0-5,766.8,10.3,8.6,11.2,56,46,,No,No,No,No,No,,Water was murky and water level still high. No target species identified.,
2022-03-17,14:56:00,Site #2 - Heritage Boat Launch,9.4,Rain,SE,0-5,763,8.2,8.8,15.2,54,27,,No,No,No,No,No,,,
2022-03-17,12:15:00,Site #3 - Lacamas Shores Boat Launch,12.6,Cloudy,E,0-5,762.7,11.5,8.1,11.2,62,48,,No,No,No,Yes,No,,Water lower level than last week causing some murkiness. Eudorina are like shooting stars across the microscope slide.,
2022-03-24,13:00:00,Site #3 - Lacamas Shores Boat Launch,22,Sunny,E,0-5,761.2,16.8,7.8,6.8,72,39,,No,No,No,No,No,,No wind. Water is murky. Temperatures warmed up quickly from 3.9c at 0800 to 22.0c. No target species identified. Eudorina identified.,
2022-03-25,14:59:00,Site #2 - Heritage Boat Launch,17.2,Partly Cloudy,N,0-5,760,10,8.5,15.9,58,33,,No,No,No,No,No,,,
2022-03-31,14:30:00,Site #2 - Heritage Boat Launch,12.2,Partly Cloudy,SW,0-5,764,11,8.3,15.3,64,32,,No,No,No,No,No,,,
2025-10-30,16:46:00,Site #3 - Lacamas Shores Boat Launch,12.4,Cloudy,E,15-20,771.2,12.6,7.1,10.1,131.5,65.7,0.07,No,No,No,No,No,Yes,"Secchi 1.5 meters. Very windy and white caps, no trawl, lots of non organic particles",
2025-10-30,16:23:00,Site #4 - Round Lake,12.6,Cloudy,SE,10-15,770.4,12.6,7.1,8,129.7,65.1,0.06,No,No,No,No,No,Yes,"Water level up from rain. Small Woronichinia, very windy. No trawl.",
2025-10-30,12:20:00,Site #5 - Fallen Leaf Lake,13.8,Cloudy,SE,5-10,770.8,13.3,7.8,5.6,91.9,46,0.03,No,No,No,No,No,No,"Trawl with Dolico, Woronic & plankto",
2025-06-12,11:30:00,Site #1 - East Boat Launch,24.4,Sunny,W,5-10,762.7,21.7,7.5,10.3,103.5,57.8,0.05,Yes,No,No,No,No,No,Pennate & Flagilaria Secchi 1.2 meter,
2025-11-06,9:50:00,Site #2 - Heritage Boat Launch,13.3,Rain,N,0-5,758,11.6,7.2,7.1,123.1,61.5,0.05,No,Yes,No,No,No,No,Secchi 90cm. Coelastrum & Dinophyceae noted,
2025-11-06,11:10:00,Site #3 - Lacamas Shores Boat Launch,12.2,Cloudy,E,0-5,762.1,11.5,6.8,7.8,121.9,60.9,0.05,No,Yes,No,No,No,Yes,Secchi 15.5cm. Minute worchi & micro noted.,
2022-03-31,14:15:00,Site #3 - Lacamas Shores Boat Launch,13.1,Partly Cloudy,NW,5-10,763.4,13.6,6.8,9.5,74,43,,No,No,No,No,No,,No target species identified. Lake level has dropped 4 feet+. Wind gusts up to 7mph.,
2022-04-07,15:00:00,Site #3 - Lacamas Shores Boat Launch,20.5,Sunny,SE,10-15,760.6,11.8,4.3,8.7,74,37,,No,No,No,No,No,,wind at 11 mph with gusts up to 14 creating small white caps. Had a hard time tossing the trawl. No target species identified.,
2022-04-14,13:30:00,Site #3 - Lacamas Shores Boat Launch,11.2,Partly Cloudy,NE,0-5,756,8.4,,6.9,70,35,,No,No,No,No,No,,instrument for Ph reading didnt work.,
2022-04-21,14:50:00,Site #2 - Heritage Boat Launch,16.1,Mostly Cloudy,SW,0-5,753,9,7.7,9.1,62,32,,No,No,No,No,No,,,
2022-04-21,13:30:00,Site #3 - Lacamas Shores Boat Launch,17.3,Partly Cloudy,NE,0-5,753.3,11.4,7.9,8.6,68,34,,No,No,No,No,No,,No Targets. Murky water.,
2022-04-28,14:48:00,Site #2 - Heritage Boat Launch,12.2,Partly Cloudy,N,0-5,757,12,8.1,,72,37,,No,No,No,No,No,,,
2022-04-28,10:30:00,Site #3 - Lacamas Shores Boat Launch,13.7,Mostly Cloudy,SE,0-5,759.2,12.8,8,5.1,72,36,,No,No,No,No,No,,"Water is murky, still high water level. Started raining. No Target Species.",
2022-05-04,10:30:00,Site #3 - Lacamas Shores Boat Launch,15.2,Sunny,NE,0-5,759.1,14.4,7.9,6.1,74,32,,No,No,No,No,No,,Lake water level has dropped at least 2 feet since last week. No target species identified. The photos attached are mid lake trawl samples - no target species.,
2022-05-05,15:48:00,Site #2 - Heritage Boat Launch,10.6,Rain,,0-5,750,13.2,8.4,9.6,78,39,,No,No,No,No,No,,,
2025-06-05,11:00:00,Site #1 - East Boat Launch,20.1,Mostly Cloudy,NW,0-5,765,20.8,7.6,8.7,93.7,42.8,0.04,No,No,No,No,No,No,"Centric, Dinoflg, & Flagaril noted in protocal",
2022-05-12,14:54:00,Site #2 - Heritage Boat Launch,10,Rain,N,0-5,760,12.2,7.8,10,66,33,,No,No,No,No,No,,,
2022-05-12,14:00:00,Site #3 - Lacamas Shores Boat Launch,13.3,Rain,NE,0-5,759.3,11.6,7.8,5.7,71,38,,No,No,No,No,No,,No target species identified.,
2022-05-19,13:42:00,Site #2 - Heritage Boat Launch,8.9,Partly Cloudy,N,0-5,764,5.5,7.7,10.6,64,35,,No,No,No,No,No,,,
2022-05-19,15:00:00,Site #3 - Lacamas Shores Boat Launch,20.2,Partly Cloudy,NW,0-5,761.3,15.1,7.9,3.6,74,55,,No,No,No,No,No,,Showers on and off. No target species identified. Other Zooplankton identified as Eudorina.,
2022-05-23,14:59:00,Site #2 - Heritage Boat Launch,20,Partly Cloudy,N,0-5,762,18.2,8.74,11.7,74,47,,No,No,No,No,No,,,
2025-05-29,14:30:00,Site #1 - East Boat Launch,21.5,Cloudy,NW,0-5,762,21.3,7,6.9,93.5,46.8,0.04,No,No,No,No,No,No,Trawl had all the other cyanos.,
2022-05-26,14:00:00,Site #3 - Lacamas Shores Boat Launch,26.8,Rain,NW,0-5,752.7,20.3,9.3,2.2,90,45,,No,No,No,No,No,,No target species.,
2022-05-30,15:01:00,Site #2 - Heritage Boat Launch,15.5,Partly Cloudy,N,0-5,762,15,8.8,10.7,72,42,,No,No,No,No,No,,,
2022-06-02,13:30:00,Site #3 - Lacamas Shores Boat Launch,25.5,Partly Cloudy,N,0-5,751.3,21.6,9.3,2.9,9.6,48,,No,No,No,No,No,,This data is from the center of the lake and not the dock,
2022-06-02,13:45:00,Site #3 - Lacamas Shores Boat Launch,27.6,Partly Cloudy,N,0-5,753.1,19.9,9.1,2,9.4,47,,No,No,No,No,No,,no targets.,
2022-06-09,14:51:00,Site #2 - Heritage Boat Launch,18.8,Rain,N,0-5,756,18,8.3,9.7,88,47,,No,No,No,No,No,,,
2022-06-16,14:30:00,Site #2 - Heritage Boat Launch,18.3,Partly Cloudy,NE,0-5,756,17.4,7.3,8.5,78,29,,No,No,No,No,No,,,
2022-06-16,13:45:00,Site #3 - Lacamas Shores Boat Launch,20,Partly Cloudy,NE,0-5,756.2,16.6,7.6,32,72,36,,No,No,No,No,No,,No target species identified. Recent rains have added to high lake level. Water is murky.,
2025-05-22,13:00:00,Site #1 - East Boat Launch,12.2,Mostly Cloudy,No wind,0-5,760.2,18,6.8,6,91.6,45.9,0.04,No,No,No,No,No,No,Trawl had dinoflag & Fragill,
2022-06-23,14:43:00,Site #2 - Heritage Boat Launch,21.7,Sunny,S,0-5,761,21.4,8.7,11.3,78,44,,No,No,No,No,No,,,
2022-06-23,12:15:00,Site #3 - Lacamas Shores Boat Launch,21.7,Sunny,W,0-5,761,19.4,7.9,11.9,76,42,,No,No,No,No,No,,Water clear small ripple on lake.,
2022-06-23,15:03:00,Site #4 - Round Lake,21.7,Sunny,S,0-5,761,22,9,11,62,38,,No,No,No,No,Yes,,Not 100% sure on Raphidiosis ID,
2022-06-23,15:03:00,Site #4 - Round Lake,21.7,Sunny,S,0-5,761,22,9.02,11,62,38,,No,No,No,No,No,,"Asterionella 3/64 abundance, Frogillaria 5/64 abundance",
2025-05-15,12:30:00,Site #1 - East Boat Launch,13.9,Mostly Cloudy,SW,0-5,761,17.3,9.8,6.5,89.5,44.7,0.04,No,No,No,No,No,No,"Water level higher. Trawl had Rotifer, Eudo & Fragi",
2022-06-30,15:25:00,Site #2 - Heritage Boat Launch,22.2,Sunny,N,0-5,749,22,7.75,9.1,74,49,,No,No,No,No,No,,Secchi 1.3 m,
2022-06-30,13:45:00,Site #3 - Lacamas Shores Boat Launch,22.6,Sunny,W,0-5,759.4,21.8,7.8,3.7,90,45,,No,No,No,No,No,,Water murky water level is higher than last week no target species,
2022-06-30,11:45:00,Site #4 - Round Lake,20.8,Sunny,N,0-5,764.3,24.2,9.2,8.4,88,41,,No,No,No,No,No,,Water clear small ripple on lake,
2022-07-07,15:40:00,Site #2 - Heritage Boat Launch,22.2,Partly Cloudy,N,0-5,759,22,8.02,8.9,104,50,,No,No,No,No,No,,Secchi 2 m,
2022-07-07,12:15:00,Site #3 - Lacamas Shores Boat Launch,22,Partly Cloudy,W,0-5,759,22.2,7.85,2.4,92,46,,No,No,No,Yes,No,,"Water has green slime. Shallow water with some Raphidiopsis & Planktothrix, nothing in trawl",
2022-07-07,11:00:00,Site #4 - Round Lake,20.3,Partly Cloudy,N,0-5,762,21.2,8.9,7.5,88,43,,No,No,No,No,No,,No target specie identified in protocol sample. High population of Dolichospermum in trawl sample.,
2025-05-08,16:10:00,Site #1 - East Boat Launch,20,Partly Cloudy,S,0-5,761,19.1,8.3,7.6,88.1,44.1,0.05,No,No,No,No,No,No,Fragillaria & Asterallia in trawl,
2025-05-01,13:30:00,Site #1 - East Boat Launch,25,Sunny,NE,0-5,754.8,18.1,7.6,7.9,84.1,42.1,0.04,No,No,No,No,No,No,Asterionella in protocol & trawl.,
2022-07-14,16:10:00,Site #2 - Heritage Boat Launch,26.1,Sunny,E,0-5,757,25,8.42,9.3,88,46,,No,No,No,No,No,,Secchi 1.5 m,
2022-07-14,13:30:00,Site #3 - Lacamas Shores Boat Launch,26.2,Sunny,W,0-5,757.9,24.1,7.5,3.6,70,35,,No,Yes,No,No,No,,Water level high and clear,
2022-07-14,12:35:00,Site #4 - Round Lake,29.8,Sunny,N,0-5,761.5,27.6,9.3,8.6,108,56,,No,No,No,No,No,,No target species identified in protocol sample,
2025-04-17,13:30:00,Site #1 - East Boat Launch,19.6,Sunny,W,0-5,760.6,14.1,7.2,9.4,78.2,39.1,0.03,No,No,No,No,No,No,Water level higher. No targets.,
2022-07-21,14:00:00,Site #2 - Heritage Boat Launch,27.7,Sunny,N,0-5,758,27.6,7.78,8.7,68,54,,No,Yes,No,No,No,,Secchi 210 cm. Dolichospermum 1/64 on abundance slide,
2022-07-21,15:00:00,Site #3 - Lacamas Shores Boat Launch,32.1,Sunny,W,0-5,757.1,34.6,,8.2,79,94,,No,No,No,No,No,,"Microcystis and Dolichospermum located and elevated in trawl sample. Water is murky, gusts of wind to 8 mph, scattered clouds. Lots of boats on the lake.",
2022-07-21,12:30:00,Site #4 - Round Lake,29.6,Sunny,N,0-5,762,28.4,8.4,5.4,122,61,,No,No,No,No,No,,No target species in protocol sample. Microcystis and Dolichospermum located in trawl sample in low numbers,
2025-04-03,13:00:00,Site #1 - East Boat Launch,10,Cloudy,W,0-5,762,11.3,6.95,6.3,76.4,35.6,,No,No,No,No,No,No,,
2022-07-28,14:54:00,Site #2 - Heritage Boat Launch,30,Sunny,SW,0-5,755,29.6,7.89,8.4,130,58,,No,Yes,No,No,No,,Secchi 1.5 m. Dolichospermum 3/64 of abundance slide,
2022-07-28,15:15:00,Site #3 - Lacamas Shores Boat Launch,37.5,Sunny,W,0-5,754,28.1,10.7,7.8,78,86,,No,Yes,Yes,No,Yes,,"High water lever, murky, lots of boats. Dolichospermum, Microcystis & P",
2022-07-28,12:00:00,Site #4 - Round Lake,26.8,Sunny,NE,0-5,759.4,27.4,8.6,6.3,130,64,,No,No,No,Yes,No,,"Planktothrix located in protocol sample, not elevated.",
2025-03-20,12:30:00,Site #1 - East Boat Launch,8.3,Rain,W,0-5,760,8.8,6.7,,70,32.8,,No,No,No,No,No,No,DO reading @ 54.5.  Set at a diffent point.,
2022-08-04,14:20:00,Site #2 - Heritage Boat Launch,22.2,Partly Cloudy,N,0-5,759,26,7.98,12.6,116,65,,No,No,No,No,No,,Secchi 1.3 m,
2022-08-04,9:45:00,Site #3 - Lacamas Shores Boat Launch,26.1,Cloudy,No wind,0-5,757.6,24.9,,8.29,116,58,,No,No,No,No,No,,,
2022-08-04,11:30:00,Site #4 - Round Lake,23.4,Partly Cloudy,NW,0-5,762,25.7,8.3,6.4,128,65,,No,No,No,No,No,,Water appears clear and is calm,
2022-08-10,14:50:00,Site #2 - Heritage Boat Launch,21.6,Mostly Cloudy,S,0-5,760,24.6,8.14,9.5,80,30,,No,Yes,No,No,No,,Secchi 1.5 m. Dolichospermum 2/64 on abundance slide.,
2022-08-11,14:00:00,Site #3 - Lacamas Shores Boat Launch,25.2,Sunny,NW,0-5,757.8,25.8,7.1,8.13,118,32.6,,No,No,No,No,No,,"No target species in protocol sample. Aphanizomenom, Dolichospermum & microcystis found in trawl.",
2022-08-11,11:30:00,Site #4 - Round Lake,25.1,Sunny,,0-5,762,25.3,9.2,6.66,122,62,,No,No,No,No,No,,Water murky & greenish,
2025-03-13,11:30:00,Site #1 - East Boat Launch,7.2,Mostly Cloudy,W,0-5,749,9.4,6.2,8.9,73.6,36.8,0.02,No,No,No,No,No,No,,
2022-08-18,14:45:00,Site #2 - Heritage Boat Launch,26.7,Mostly Cloudy,,0-5,756,26,8.11,10.4,106,68,,No,Yes,No,No,No,,Secchi 1.5 m. Dolichospermum 2/64 on abundance slide.,
2022-08-18,9:15:00,Site #4 - Round Lake,23.7,Mostly Cloudy,,0-5,762,25,8.8,6.9,126,55,,No,No,No,No,No,,Persistent mild rain,
2025-03-07,13:30:00,Site #1 - East Boat Launch,16.1,Partly Cloudy,W,0-5,762,11.1,6,5.7,68.1,34.1,0.03,No,No,No,No,No,No,None,
2022-08-25,15:07:00,Site #2 - Heritage Boat Launch,27.2,Sunny,N,0-5,756,27,8.28,8.4,138,60,,No,Yes,No,No,No,,Secchi 1.6 m. 4/64 Dolichospermum in protocol. 1 Dinoflagellates.,
2022-08-25,13:30:00,Site #3 - Lacamas Shores Boat Launch,30,Sunny,NW,0-5,756.2,26.8,8.5,8.46,122,90.6,,No,No,No,Yes,No,,Water looked clear. A couple of Planktothrix were observed.,
2025-02-27,13:00:00,Site #1 - East Boat Launch,16.7,Sunny,No wind,0-5,760,8.8,6.2,9.5,64,32.2,,No,No,No,No,No,No,Water Level high,
2022-09-01,15:00:00,Site #2 - Heritage Boat Launch,30,Sunny,N,0-5,756,24,8.66,10.6,108,62,,No,Yes,No,No,No,,Secchi 1.2m. Dolichospermum 9/64 in abundance slide. 1 Dinobryon in protocol sample.,
2022-09-01,13:00:00,Site #3 - Lacamas Shores Boat Launch,22.6,Sunny,W,0-5,756.9,24.6,8.4,12.2,122,79.8,,No,No,No,Yes,No,,DO meter reading may be incorrect. Will calibrate meter. Dock at 4 1/2,
2025-02-20,13:00:00,Site #1 - East Boat Launch,7.7,Cloudy,No wind,0-5,767,7.1,6.54,9.8,71.6,35.9,,No,No,No,No,No,No,"Murky. Clumps of vegetation, globs of scum.",
2022-09-08,15:57:00,Site #2 - Heritage Boat Launch,24.4,Sunny,N,0-5,759.5,23.4,8.66,10.2,62,67,,No,Yes,No,No,No,,Secchi 1.0 m. Dolichospermum 16/64 abundance slide,
2022-09-08,14:00:00,Site #3 - Lacamas Shores Boat Launch,30.2,Sunny,NW,0-5,760.6,23.9,8.4,7,120,60,,Yes,Yes,Yes,Yes,No,,"Target species elevated, Woronichinia present and elevated.",
2022-09-08,14:30:00,Site #4 - Round Lake,24.1,Sunny,SW,0-5,760.5,23.5,9.3,6.7,110,56,,No,Yes,No,No,No,,Water clear,
2022-09-08,13:30:00,Site #5 - Fallen Leaf Lake,25,Sunny,NE,0-5,761,24.1,7.9,7.2,102,51,,,Yes,Yes,,,,"Woronichinia present, target species identified",
2022-09-14,12:15:00,Site #4 - Round Lake,23.4,Mostly Cloudy,SW,0-5,755.85,21.4,8.6,6.87,132,68,,No,Yes,Yes,No,No,,"Water level down. Clear at edge, murky green over most of lake.",
2025-02-13,,Site #1 - East Boat Launch,,,,,,,,,,,,,,,,,,Snow,
2022-09-15,14:30:00,Site #2 - Heritage Boat Launch,21.7,Partly Cloudy,N,0-5,759,21,8.71,11.7,136,50,,No,Yes,Yes,No,No,,Secchi .075 m. Slight fishy odor lake level down 1 m,
2022-09-15,12:25:00,Site #3 - Lacamas Shores Boat Launch,26.4,Partly Cloudy,NW,0-5,762.8,29,9.4,6.6,114,67,,No,Yes,No,No,No,,"Water shallow at end of dock due to lake drainage. Dolichospermum identified in protocol sample, elevated 32/64 on abundance slide.",
2022-09-26,11:30:00,Site #2 - Heritage Boat Launch,28.1,Sunny,NW,0-5,760,21.1,8.6,10.68,116,59,,Yes,Yes,No,No,No,,"Aphanizomenon and Dolishospermum notes in protocol sample, not elevated. Water is murkey.",
2022-09-26,12:36:00,Site #4 - Round Lake,26.3,Sunny,,0-5,760.4,21.7,8.7,9.22,116,55,,No,Yes,No,Yes,No,,Lake is cloudy. Protocol Dolichospermum elevated 59/64 on abundance slide.,
2025-02-06,15:30:00,Site #1 - East Boat Launch,7.3,Cloudy,E,0-5,753,6.3,5.9,5.6,80.8,40.1,0.04,No,No,No,No,No,No,"Debris and dirty, scum present.",
2022-10-06,15:40:00,Site #2 - Heritage Boat Launch,25,Sunny,NW,0-5,759,20,8.6,10.2,116,49,,No,Yes,No,No,No,,"Lake level 2.5 m down, secchi .09m. Dolichospermum 17/64 in protocol sample",
2022-10-06,11:28:00,Site #3 - Lacamas Shores Boat Launch,17.8,Mostly Cloudy,NW,0-5,764.5,,,,,,,No,Yes,Yes,No,No,,"Dolichospermum & Microcystis noted in protocol sample, not elevated. Conditions too muddy could not get to lake for data reading. Did take a remote sample of water",
2022-10-06,12:30:00,Site #4 - Round Lake,20,Mostly Cloudy,,0-5,760.46,18.8,8.8,8.3,120,62,,Yes,Yes,Yes,No,No,,"Post draining of lake, green cloudy to clear at edges",
2025-01-30,,Site #1 - East Boat Launch,,,,,,,,,,,,,,,,,,,
2022-10-13,14:47:00,Site #2 - Heritage Boat Launch,19.4,Sunny,S,0-5,760,18.4,8.7,9.9,94,35,,No,Yes,Yes,No,No,,Secchi 1.1 m lake level 2-3 m down. Dolichospermum 8/64 abundance Microcystis 1/64 abundance,
2022-10-13,14:00:00,Site #3 - Lacamas Shores Boat Launch,29.9,Sunny,,0-5,760.1,22.6,9.6,11.2,116.8,10.9,,No,Yes,No,No,No,,No wind. Had to walk out 50 from dock. Lake still low from dam repairs.,
2022-10-13,14:47:00,Site #4 - Round Lake,19.4,Sunny,S,0-5,760,18.4,8.7,9.9,94,35,,No,Yes,Yes,No,No,,"Secchi 1.1m. Lake level 2-3m down. Dolishospermum 8/64 abundance, Microcystis 1/64 abundance.",
2022-10-13,13:00:00,Site #5 - Fallen Leaf Lake,21.5,Sunny,NW,0-5,760.4,20.6,9.04,10.2,98.1,10.8,,No,No,No,No,No,,Water at usual level. No target species,
2022-10-21,10:00:00,Site #2 - Heritage Boat Launch,19.4,Cloudy,,0-5,756.5,16.5,8.9,3.1,128,66,,No,Yes,No,Yes,No,,"Water cloudy, no blooms seen.",
2025-01-23,13:50:00,Site #1 - East Boat Launch,5,Sunny,W,0-5,768.2,6,6.1,,75.4,37.6,0.02,No,No,No,No,No,No,Water clear. Trawl w/zooplanktons,
2022-10-27,13:15:00,Site #3 - Lacamas Shores Boat Launch,19.5,Partly Cloudy,NW,0-5,760.6,16,8.4,9.4,108,55,,No,Yes,Yes,No,No,,"Water level has come up, but still 1 deep out a ways. No trawl sample.",
2025-01-16,13:30:00,Site #1 - East Boat Launch,5.5,Cloudy,E,0-5,763.1,6.8,5.4,5.7,70.1,35.5,0.02,No,No,No,No,No,No,Trawl fairly clean,
2022-11-03,13:18:00,Site #2 - Heritage Boat Launch,5.5,Rain,SE,0-5,765,11,9.09,7.4,96,49,,No,Yes,No,No,No,,Secchi 1.1m. Dolichospermum 8/64 on abundance slide.,
2022-11-03,14:00:00,Site #3 - Lacamas Shores Boat Launch,7.77,Rain,NE,0-5,763.9,12.2,7.73,8.1,102,50,,No,Yes,Yes,No,No,,"Microcystis & Planktothrix elevated in trawl sample. After lots of rain, water level back up. Green cloud in deep water. Bright green slime along edge.",
2022-11-03,12:40:00,Site #4 - Round Lake,14.1,Mostly Cloudy,,0-5,764.8,12.4,8.9,,108,55,,No,Yes,No,No,No,,"Cloudy, lake water level increased. Green scum on surface, temp down, no wind.",
2025-01-09,13:25:00,Site #1 - East Boat Launch,7.2,Sunny,E,0-5,768.2,8.1,6.8,6.5,68.5,34.3,0.03,No,No,No,No,No,No,Trawl had a little planktothrix.,
2022-11-10,15:41:00,Site #2 - Heritage Boat Launch,8.9,Partly Cloudy,,0-5,766,9,8.24,8.1,78,24,,No,No,No,No,No,,Secchi 1m,
2022-11-10,12:30:00,Site #3 - Lacamas Shores Boat Launch,7.79,Partly Cloudy,W,0-5,766,9.7,7.7,6.2,82,41,,No,No,No,No,No,,"Water cloudy, level back up to early Summer",
2022-11-10,12:00:00,Site #4 - Round Lake,12.3,Sunny,,0-5,767.2,9.9,9.5,6.5,82,43,,No,Yes,Yes,No,No,,"Water surface mostly clear, some scum. Water level higher than last week",
2022-11-10,12:00:00,Site #5 - Fallen Leaf Lake,7.77,Partly Cloudy,SW,0-5,766.9,9.7,7.9,8.9,76,38,,No,No,No,No,No,,Water at normal level and clear,
2025-01-02,16:30:00,Site #1 - East Boat Launch,5.5,Rain,SE,0-5,763.2,6.4,7.9,7.8,69.4,34.3,0.03,No,No,Yes,No,No,No,Water murky. Rain has increased lake level.,
2022-11-17,12:50:00,Site #2 - Heritage Boat Launch,7.2,Sunny,E,5-10,769.6,4,8.9,8.99,76,40,,No,No,No,No,No,,Secchi 1.2 m,
2022-11-17,10:10:00,Site #3 - Lacamas Shores Boat Launch,6.6,Sunny,SE,15-20,769,6,7.6,8.9,70,35,,No,Yes,No,No,No,,"Very choppy, gusty wind. Dolichospermum and one unknown",
2022-11-17,17:50:00,Site #5 - Fallen Leaf Lake,7.5,Sunny,SE,15-20,767,6.4,8.1,8.9,66,33,,No,No,No,No,No,,Gusty wind. No target species,
2022-11-25,13:30:00,Site #4 - Round Lake,5,Rain,,0-5,764.6,6.1,9.1,9.9,78,41,,No,No,No,No,No,,"Raining & cold. Water clear, no scum",
